epoch,train_loss,validation_loss,train_macro_f1,validation_macro_f1,train_accuracy,validation_accuracy,learning_rate,epoch_seconds
1,0.6210813522338867,0.5413603782653809,0.6189950134253932,0.7706943414875216,0.62109375,0.7734375,0.0003,8.379129100008868
2,0.43934476375579834,0.5151137113571167,0.8157737593973451,0.7130759651307597,0.81640625,0.71875,0.0003,8.565711100003682
3,0.39862819015979767,0.5597245991230011,0.8007782101167316,0.6775870040014667,0.80078125,0.69140625,0.0003,8.437695400003577
4,0.3648145943880081,0.46822696924209595,0.8398413061722744,0.7889465648854962,0.83984375,0.7890625,0.0003,8.221614599999157
5,0.3135889023542404,0.45923858880996704,0.8632624719581241,0.8046755783434048,0.86328125,0.8046875,0.0003,8.632865999999922
