strategy_name,task,backbone,pretrained,image_size,batch_size,epochs,head_learning_rate,backbone_learning_rate,weight_decay,metadata_fields,metadata_embedding_dim,metadata_width,fusion_width,dropout,unfreeze_last_blocks,loss,selection_metric,early_stopping_patience,early_stopping_min_delta,scheduler_patience,scheduler_factor,num_workers,optimizer,metadata_dropout,weighted_sampling,scheduler,ablation,augmentation.crop_scale,augmentation.rotation_degrees,seed,evaluate_development_test,models_root,summary_path,run_name,run_directory,class_names,metadata_preprocessor.fields,metadata_preprocessor.age_mean,metadata_preprocessor.age_std,metadata_preprocessor.missing_value_policy.age,metadata_preprocessor.missing_value_policy.categorical,metadata_preprocessor.missing_value_policy.unknown_category,metadata_preprocessor.normalization,checkpoint_path,device,metrics.loss,metrics.sample_count,metrics.labels,metrics.class_names,metrics.class_coverage_complete,metrics.missing_classes,metrics.accuracy,metrics.balanced_accuracy,metrics.macro_precision,metrics.macro_recall,metrics.macro_f1,metrics.weighted_f1,metrics.confusion_matrix,metrics.class_metrics,metrics.roc_auc,metrics.pr_auc,metrics.sensitivity,metrics.specificity,metrics.positive_predictive_value,metrics.negative_predictive_value,metrics.brier_score,metrics.calibration_error,timing.training_seconds,timing.epoch_seconds,timing.validation_seconds,timing.evaluation_seconds,timing.inference_model_only_batch_size_1.device,timing.inference_model_only_batch_size_1.warmup_runs,timing.inference_model_only_batch_size_1.timed_samples,timing.inference_model_only_batch_size_1.mean_ms,timing.inference_model_only_batch_size_1.median_ms,timing.inference_model_only_batch_size_1.p95_ms,timing.total_experiment_seconds,best_epoch,best_checkpoint,status,leakage_free,metadata_preprocessor.vocabularies.sex.female,metadata_preprocessor.vocabularies.sex.male,metadata_preprocessor.vocabularies.anatomical_site.hand_foot,metadata_preprocessor.vocabularies.anatomical_site.head_neck,metadata_preprocessor.vocabularies.anatomical_site.lower_extremity,metadata_preprocessor.vocabularies.anatomical_site.trunk,metadata_preprocessor.vocabularies.anatomical_site.unmapped:oral/genital,metadata_preprocessor.vocabularies.anatomical_site.upper_extremity,metadata_preprocessor.vocabularies.skin_tone.fitzpatrick_1,metadata_preprocessor.vocabularies.skin_tone.fitzpatrick_2,metadata_preprocessor.vocabularies.skin_tone.fitzpatrick_3,metadata_preprocessor.vocabularies.skin_tone.fitzpatrick_4,metadata_preprocessor.vocabularies.skin_tone.fitzpatrick_5
multimodal,diagnosis_binary,dinov2_vits14,True,196,8,5,0.0003,1e-05,0.0001,[],16,64,256,0.2,0,weighted_cross_entropy,macro_f1,5,0.001,2,0.5,0,adamw,0.2,False,reduce_on_plateau,image_only,"[0.75, 1.0]",20,42,False,results\ablations\multimodal_metadata\screening_20260921\models,results\ablations\multimodal_metadata\screening_20260921\summary.csv,A_image_only,results\ablations\multimodal_metadata\screening_20260921\A_image_only,"['benign', 'malignant']",[],0.0,1.0,training_mean_with_missing_indicator,dedicated_missing_id_0,dedicated_unknown_id_1,src.data.metadata explicit canonical mappings; nonempty unmapped values retain an unmapped: prefix,results\ablations\multimodal_metadata\screening_20260921\models\multimodal\multimodal_dinov2_vits14_A_image_only.pt,cuda,0.6560898125171661,256,"[0, 1]","['benign', 'malignant']",True,[],0.69921875,0.69921875,0.7019926975679188,0.69921875,0.698182541991395,0.698182541991395,"[[97, 31], [46, 82]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.6783216783216783, 'recall': 0.7578125, 'f1': 0.7158671586715867, 'support': 128}, {'class': 1, 'class_name': 'malignant', 'precision': 0.7256637168141593, 'recall': 0.640625, 'f1': 0.6804979253112033, 'support': 128}]",0.756744384765625,0.7185519308739858,0.640625,0.7578125,0.7256637168141593,0.6783216783216783,0.2135537307348412,0.0942701767198741,45.91329289998976,"[7.857103900008951, 8.04500110000663, 8.168630400003167, 8.02049999999872, 8.06813690000854]",18.135371799988206,1.8999999156221747e-06,cuda,3,20,7.430975000170292,7.411949998640921,7.643714992445894,55.16866799999843,4,results\ablations\multimodal_metadata\screening_20260921\models\multimodal\multimodal_dinov2_vits14_A_image_only.pt,complete,True,,,,,,,,,,,,,
multimodal,diagnosis_binary,dinov2_vits14,True,196,8,5,0.0003,1e-05,0.0001,"['age', 'sex', 'anatomical_site']",16,64,256,0.2,0,weighted_cross_entropy,macro_f1,5,0.001,2,0.5,0,adamw,0.2,False,reduce_on_plateau,image_plus_metadata,"[0.75, 1.0]",20,42,False,results\ablations\multimodal_metadata\screening_20260921\models,results\ablations\multimodal_metadata\screening_20260921\summary.csv,B_core_metadata,results\ablations\multimodal_metadata\screening_20260921\B_core_metadata,"['benign', 'malignant']","['age', 'sex', 'anatomical_site']",57.515625,19.10240078331189,training_mean_with_missing_indicator,dedicated_missing_id_0,dedicated_unknown_id_1,src.data.metadata explicit canonical mappings; nonempty unmapped values retain an unmapped: prefix,results\ablations\multimodal_metadata\screening_20260921\models\multimodal\multimodal_dinov2_vits14_B_core_metadata.pt,cuda,0.459238588809967,256,"[0, 1]","['benign', 'malignant']",True,[],0.8046875,0.8046875,0.8047619047619048,0.8046875,0.8046755783434048,0.8046755783434048,"[[104, 24], [26, 102]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8, 'recall': 0.8125, 'f1': 0.8062015503875969, 'support': 128}, {'class': 1, 'class_name': 'malignant', 'precision': 0.8095238095238095, 'recall': 0.796875, 'f1': 0.8031496062992126, 'support': 128}]",0.87164306640625,0.8007076482263185,0.796875,0.8125,0.8095238095238095,0.8,0.143239574963355,0.0535165034234523,47.335479000001214,"[8.379129100008868, 8.565711100003682, 8.437695400003577, 8.221614599999157, 8.632865999999922]",19.81136009997863,1.00000761449337e-06,cuda,3,20,7.837035001284676,5.522300001757685,14.366375000099652,51.73150150000584,5,results\ablations\multimodal_metadata\screening_20260921\models\multimodal\multimodal_dinov2_vits14_B_core_metadata.pt,complete,True,2.0,3.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,
multimodal,diagnosis_binary,dinov2_vits14,True,196,8,5,0.0003,1e-05,0.0001,"['age', 'sex', 'anatomical_site', 'skin_tone']",16,64,256,0.2,0,weighted_cross_entropy,macro_f1,5,0.001,2,0.5,0,adamw,0.2,False,reduce_on_plateau,image_plus_metadata,"[0.75, 1.0]",20,42,False,results\ablations\multimodal_metadata\screening_20260921\models,results\ablations\multimodal_metadata\screening_20260921\summary.csv,C_core_plus_skin_tone,results\ablations\multimodal_metadata\screening_20260921\C_core_plus_skin_tone,"['benign', 'malignant']","['age', 'sex', 'anatomical_site', 'skin_tone']",57.515625,19.10240078331189,training_mean_with_missing_indicator,dedicated_missing_id_0,dedicated_unknown_id_1,src.data.metadata explicit canonical mappings; nonempty unmapped values retain an unmapped: prefix,results\ablations\multimodal_metadata\screening_20260921\models\multimodal\multimodal_dinov2_vits14_C_core_plus_skin_tone.pt,cuda,0.4749633520841598,256,"[0, 1]","['benign', 'malignant']",True,[],0.82421875,0.82421875,0.830040385212799,0.82421875,0.8234401581681916,0.8234401581681916,"[[97, 31], [14, 114]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8738738738738738, 'recall': 0.7578125, 'f1': 0.8117154811715481, 'support': 128}, {'class': 1, 'class_name': 'malignant', 'precision': 0.7862068965517242, 'recall': 0.890625, 'f1': 0.8351648351648352, 'support': 128}]",0.866180419921875,0.8083863470691195,0.890625,0.7578125,0.7862068965517242,0.8738738738738738,0.1444855060927673,0.0871074125170707,48.27740950002044,"[8.184391899994807, 8.758547500008717, 8.636458900000434, 8.446201700004167, 9.085675299997092]",19.97723939998832,6.999907782301307e-07,cuda,3,20,9.23976500198478,7.57214999612188,14.837245002854615,53.13844629999949,4,results\ablations\multimodal_metadata\screening_20260921\models\multimodal\multimodal_dinov2_vits14_C_core_plus_skin_tone.pt,complete,True,2.0,3.0,2.0,3.0,4.0,5.0,6.0,7.0,2.0,3.0,4.0,5.0,6.0
multimodal,diagnosis_binary,dinov2_vits14,True,196,8,5,0.0003,1e-05,0.0001,"['age', 'sex', 'anatomical_site', 'skin_tone']",16,64,256,0.2,0,weighted_cross_entropy,macro_f1,5,0.001,2,0.5,0,adamw,0.2,False,reduce_on_plateau,image_plus_metadata,"[0.75, 1.0]",20,42,False,results\ablations\multimodal_metadata\screening_20260921\models,results\ablations\multimodal_metadata\screening_20260921\summary.csv,D_skin_tone_architecture_all_missing,results\ablations\multimodal_metadata\screening_20260921\D_skin_tone_architecture_all_missing,"['benign', 'malignant']","['age', 'sex', 'anatomical_site', 'skin_tone']",57.515625,19.102400783311886,training_mean_with_missing_indicator,dedicated_missing_id_0,dedicated_unknown_id_1,src.data.metadata explicit canonical mappings; nonempty unmapped values retain an unmapped: prefix,results\ablations\multimodal_metadata\screening_20260921\models\multimodal\multimodal_dinov2_vits14_D_skin_tone_architecture_all_missing.pt,cuda,0.5315765142440796,256,"[0, 1]","['benign', 'malignant']",True,[],0.77734375,0.77734375,0.7923502541336935,0.77734375,0.7744493392070485,0.7744493392070485,"[[85, 43], [14, 114]]","[{'class': 0, 'class_name': 'benign', 'precision': 0.8585858585858586, 'recall': 0.6640625, 'f1': 0.748898678414097, 'support': 128}, {'class': 1, 'class_name': 'malignant', 'precision': 0.7261146496815286, 'recall': 0.890625, 'f1': 0.8, 'support': 128}]",0.8350830078125,0.7688436540885464,0.890625,0.6640625,0.7261146496815286,0.8585858585858586,0.1685520098029672,0.05529033183120188,51.60429750000185,"[8.949255300001823, 9.63870140000654, 9.170456599997124, 9.883060899999691, 8.97658400000364]",22.17686279998452,9.999930625781417e-07,cuda,3,20,10.49741000024369,14.236350005376153,14.732884993281914,56.55268100000103,2,results\ablations\multimodal_metadata\screening_20260921\models\multimodal\multimodal_dinov2_vits14_D_skin_tone_architecture_all_missing.pt,complete,True,2.0,3.0,2.0,3.0,4.0,5.0,6.0,7.0,,,,,
