metric,v1_frozen,v2_posthoc,v2_minus_v1
accuracy,0.7103658536585366,0.6128048780487805,-0.09756097560975607
balanced_accuracy,0.6659311509013082,0.6359196961475855,-0.03001145475372269
macro_f1,0.6512942177061068,0.5856278847684228,-0.06566633293768409
roc_auc,0.7209621993127147,0.7032977633086152,-0.017664436004099504
pr_auc,0.5073981139087945,0.5031208807591957,-0.004277233149598825
sensitivity,0.5730994152046783,0.6842105263157895,0.11111111111111116
specificity,0.7587628865979381,0.5876288659793815,-0.17113402061855665
brier_score,0.20189919453562463,0.2540069496820541,0.052107755146429485
