accuracy,balanced_accuracy,macro_f1,sensitivity,specificity,roc_auc,pr_auc,brier_score,strategy,parameters,balanced_accuracy_std,mode
0.891191532946398,0.8478925005600959,0.8552615826737078,0.938407158836689,0.7573778422835028,0.9068162517628139,0.9558207142330961,0.09200640402780623,equal_probability_average,"{""strategy"": ""equal_probability_average""}",0.03815281436923157,metadata_available
0.8905330927181387,0.8474465646913412,0.8544970481275781,0.9375152870991796,0.7573778422835028,0.9069686616902017,0.9559172660683442,0.09194880799074837,static_validation_weighted,"{""strategy"": ""static_validation_weighted""}",0.038072120527819005,metadata_available
0.886577574013559,0.8410802533473168,0.8487976126392851,0.9361759880686055,0.7459845186260281,0.9063848091182521,0.9567475016527095,0.09178593868528366,closest_pair_consensus,"{""outlier_weight_multiplier"": 0.2, ""pair_max_distance"": 0.05, ""separation_ratio"": 2.0, ""strategy"": ""closest_pair_consensus""}",0.03957050290995832,metadata_available
0.886577574013559,0.8410802533473168,0.8487976126392851,0.9361759880686055,0.7459845186260281,0.9045342232092896,0.9550643834730578,0.09187876156880342,closest_pair_consensus,"{""outlier_weight_multiplier"": 0.2, ""pair_max_distance"": 0.05, ""separation_ratio"": 3.0, ""strategy"": ""closest_pair_consensus""}",0.03957050290995832,metadata_available
0.886577574013559,0.8410802533473168,0.8487976126392851,0.9361759880686055,0.7459845186260281,0.9041306792907401,0.9545133816674272,0.09190288279711553,closest_pair_consensus,"{""outlier_weight_multiplier"": 0.2, ""pair_max_distance"": 0.05, ""separation_ratio"": 4.0, ""strategy"": ""closest_pair_consensus""}",0.03957050290995832,metadata_available
0.8855891007819994,0.8404362849031712,0.8478188883548275,0.9348396718866518,0.7460328979196904,0.9057481083912639,0.9565364786113235,0.09254836172723961,closest_pair_consensus,"{""outlier_weight_multiplier"": 0.2, ""pair_max_distance"": 0.1, ""separation_ratio"": 2.0, ""strategy"": ""closest_pair_consensus""}",0.03810930057604432,metadata_available
0.8865775740135592,0.8411044429941481,0.8488979001728209,0.9361759880686055,0.7460328979196904,0.9035613794700789,0.954692467325812,0.09256116914969771,closest_pair_consensus,"{""outlier_weight_multiplier"": 0.2, ""pair_max_distance"": 0.1, ""separation_ratio"": 3.0, ""strategy"": ""closest_pair_consensus""}",0.03771738433218572,metadata_available
0.8865775740135592,0.8411044429941481,0.8488979001728209,0.9361759880686055,0.7460328979196904,0.9044175457736302,0.9546796329901164,0.09185549679725787,closest_pair_consensus,"{""outlier_weight_multiplier"": 0.2, ""pair_max_distance"": 0.1, ""separation_ratio"": 4.0, ""strategy"": ""closest_pair_consensus""}",0.03771738433218572,metadata_available
0.8855842234469752,0.8392070471422124,0.8475083140710221,0.936178970917226,0.7422351233671988,0.9051216820408919,0.9563469716482094,0.09292852311158913,closest_pair_consensus,"{""outlier_weight_multiplier"": 0.2, ""pair_max_distance"": 0.15, ""separation_ratio"": 2.0, ""strategy"": ""closest_pair_consensus""}",0.03521843136434088,metadata_available
0.8865759482352177,0.8398873000566048,0.8486157460903364,0.9375152870991796,0.7422593130140299,0.9029853314414542,0.954520184885961,0.0930482768631278,closest_pair_consensus,"{""outlier_weight_multiplier"": 0.2, ""pair_max_distance"": 0.15, ""separation_ratio"": 3.0, ""strategy"": ""closest_pair_consensus""}",0.034446707864618696,metadata_available
0.8855874750036582,0.8392176505413179,0.847495772997963,0.9361759880686055,0.7422593130140299,0.9039599112072204,0.9545419357736401,0.09221560866080017,closest_pair_consensus,"{""outlier_weight_multiplier"": 0.2, ""pair_max_distance"": 0.15, ""separation_ratio"": 4.0, ""strategy"": ""closest_pair_consensus""}",0.03447026674836343,metadata_available
0.8832837470939212,0.8339713988542657,0.8434857941687798,0.9370768083519762,0.7308659893565553,0.9042370249873098,0.9544497451531232,0.0926092576205227,robust_mad_huber,"{""huber_cutoff"": 1.0, ""minimum_scale"": 0.05, ""strategy"": ""robust_mad_huber""}",0.037831695068734364,metadata_available
0.8842705945471395,0.8370980324671601,0.8455840942374607,0.9357345264727815,0.7384615384615384,0.9055059640737747,0.9552274272897814,0.09228032632893407,robust_mad_huber,"{""huber_cutoff"": 1.5, ""minimum_scale"": 0.05, ""strategy"": ""robust_mad_huber""}",0.03569891557498393,metadata_available
0.8862475410102587,0.8396650778343826,0.8482172538141111,0.9370708426547352,0.7422593130140299,0.9057856992106709,0.9553724744757882,0.09214577712721132,robust_mad_huber,"{""huber_cutoff"": 2.0, ""minimum_scale"": 0.05, ""strategy"": ""robust_mad_huber""}",0.03433259773369686,metadata_available
0.8799785397258938,0.8268173113451066,0.8380386915181276,0.937959731543624,0.7156748911465893,0.9101838705383091,0.9564760577164554,0.08966071233116489,learned_logistic_stacker,"{""strategy"": ""learned_logistic_stacker""}",0.036766099167802845,metadata_available
0.8793249768326586,0.8399049222413791,0.8420449797513714,0.9223594332587622,0.7574504112239961,0.8948210117658009,0.9485582237538804,0.09901105734492316,equal_probability_average,"{""strategy"": ""equal_probability_average""}",0.034105765299078945,no_metadata
0.8786649108260581,0.8394560035240042,0.8412834039906638,0.921461595824012,0.7574504112239961,0.8947880196850693,0.9485329903829999,0.09885568369577723,static_validation_weighted,"{""strategy"": ""static_validation_weighted""}",0.033603159558055644,no_metadata
0.8852655708920646,0.8361559252729317,0.8460023555554378,0.9388575689783741,0.7334542815674892,0.8960169782098364,0.9490895170713386,0.09454113290219117,learned_logistic_stacker,"{""strategy"": ""learned_logistic_stacker""}",0.032647012760098626,no_metadata
