epoch,train_loss,validation_loss,train_macro_f1,validation_macro_f1,train_accuracy,validation_accuracy,learning_rate,epoch_seconds
1,0.8569525927305222,0.9340566396713257,0.5973552002687557,0.520769036175057,0.59765625,0.56640625,0.0003,7.857103900008951
2,0.6494876220822334,0.7795250415802002,0.6436122202334511,0.604709515537541,0.64453125,0.625,0.0003,8.04500110000663
3,0.6344508156180382,0.6812379062175751,0.7148393987945373,0.669433683822173,0.71484375,0.671875,0.0003,8.168630400003167
4,0.5589188672602177,0.6560898125171661,0.7265458096807667,0.698182541991395,0.7265625,0.69921875,0.0003,8.02049999999872
5,0.527959369122982,0.6647466197609901,0.769246046902452,0.6855281367106716,0.76953125,0.69140625,0.0003,8.06813690000854
