system,sample_count,accuracy,balanced_accuracy,macro_f1,roc_auc,pr_auc,sensitivity,specificity,brier_score
convnext,656,0.5259146341463414,0.615017785012359,0.5202953244218719,0.6895701452945078,0.4582447126307264,0.8011695906432749,0.4288659793814433,0.34592849711198215
efficientnet,656,0.6600609756097561,0.6110869958401157,0.5972856533289287,0.6917827214083319,0.4891327128121177,0.5087719298245614,0.7134020618556701,0.2265959660943357
multimodal,656,0.7713414634146342,0.6446976547898957,0.6594684385382059,0.7362392234882739,0.4908387024955708,0.38011695906432746,0.9092783505154639,0.16896425196222664
Frozen final ensemble,656,0.7103658536585366,0.6659311509013082,0.6512942177061068,0.7209621993127147,0.5073981139087945,0.5730994152046783,0.7587628865979381,0.20189919453562463
