epoch,train_loss,validation_loss,train_macro_f1,validation_macro_f1,train_accuracy,validation_accuracy,learning_rate,epoch_seconds
1,0.5644675493240356,0.5234062671661377,0.738277256427863,0.7299701903233203,0.73828125,0.73046875,0.0003,8.184391899994807
2,0.43683356046676636,0.502713143825531,0.8159315862744199,0.7353372320891262,0.81640625,0.73828125,0.0003,8.758547500008717
3,0.38126257061958313,0.5390349924564362,0.8515262515262515,0.7039993664370001,0.8515625,0.71484375,0.0003,8.636458900000434
4,0.347996786236763,0.47496335208415985,0.8398413061722744,0.8234401581681916,0.83984375,0.82421875,0.0003,8.446201700004167
5,0.3196301683783531,0.4878552705049515,0.8828125,0.8032343356084364,0.8828125,0.8046875,0.0003,9.085675299997092
