error_type,n,mean,median,std,q1,q3,min,max
FN,73,0.319946108147774,0.34320645034313196,0.12896781546604238,0.20483293384313583,0.4328791548808415,0.07700453884899616,0.495754212141037
TP,98,0.7563918412213219,0.7655370632807412,0.11085894010424793,0.6739904483159382,0.8504713972409566,0.5260966618855794,0.9502446254094441
TN,368,0.2793913377117597,0.28917957221468293,0.1383411592659431,0.1731496398958067,0.3793202818681797,0.008452886249870062,0.508475919564565
FP,117,0.6747527392183104,0.666110227505366,0.10989790164873259,0.5836805502573649,0.7424550453821817,0.5113691637913386,0.968810498714447
