skin_tone,total_n,malignant_n,benign_n,tn,fp,fn,tp,sensitivity,specificity,balanced_accuracy,macro_f1,roc_auc,pr_auc,small_sample_flag
12,208,49,159,101,58,14,35,0.7142857142857143,0.6352201257861635,0.6747529200359389,0.6150920119255681,0.7350789372352714,0.44398366944401874,False
34,241,74,167,133,34,24,50,0.6756756756756757,0.7964071856287425,0.7360414306522091,0.7269495233630254,0.8248907590224956,0.6577380720532822,False
56,207,48,159,134,25,35,13,0.2708333333333333,0.8427672955974843,0.5568003144654088,0.559699376063528,0.5535901467505242,0.4172053803076685,False
