epoch,train_loss,validation_loss,train_macro_f1,validation_macro_f1,train_accuracy,validation_accuracy,learning_rate,epoch_seconds
1,0.5909148454666138,0.5751566886901855,0.6795114503816795,0.6690003153579313,0.6796875,0.6796875,0.0003,8.949255300001823
2,0.4693254232406616,0.5315765142440796,0.7848903827056757,0.7744493392070485,0.78515625,0.77734375,0.0003,9.63870140000654
3,0.390510231256485,0.5302739143371582,0.8397239146700872,0.7029417299128145,0.83984375,0.7109375,0.0003,9.170456599997124
4,0.354896642267704,0.5161973387002945,0.8632791638056001,0.7124134057292641,0.86328125,0.71875,0.0003,9.883060899999691
5,0.3122737556695938,0.5342573374509811,0.859297709923664,0.7146042363433668,0.859375,0.72265625,0.00015,8.97658400000364
